"year","week","sunshine","frac"
2005,14,4.99,0.26
2005,15,4.54,0.279
2005,16,7.04,0.298
2005,17,4.01,0.317
2005,18,5.94,0.337
2005,19,9.27,0.356
2005,20,4.9,0.375
2005,21,7.57,0.394
2005,22,6.44,0.413
2005,23,7.41,0.433
2005,24,6.29,0.452
2005,25,11.6,0.471
2005,26,5.79,0.49
2005,27,2.93,0.51
2005,28,11.54,0.529
2005,29,10.43,0.548
2005,30,2.91,0.567
2005,31,6.06,0.587
2005,32,9.21,0.606
2005,33,7.51,0.625
2005,34,6.37,0.644
2005,35,9.4,0.663
2005,36,6.8,0.683
2005,37,4.8,0.702
